id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-140.1315789473684	103.5	137.8	0	0	200	90	1.7	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
2	spot	0	103.5	260.7	0	0	200	90	1.7	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
3	spot	105.7157894736842	103.5	148.6	0	0	200	90	1.7	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
3	spot	-112.91184210526315	103.5	284.27368421052626	40	270	200	25	2.0	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
4	spot	-34.30394736842105	103.5	284.27368421052626	40	270	200	25	2.0	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
5	spot	44.30394736842106	103.5	284.27368421052626	40	270	200	25	2.0	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
6	spot	112.2157894736842	103.5	299.60352	40	0	200	25	2.0	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
7	spot	112.2157894736842	103.5	174.3157894736842	40	0	200	25	2.0	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
8	spot	112.2157894736842	103.5	49.028058947368436	40	0	200	25	2.0	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
9	spot	-56.1078947368421	103.5	170.84690526315788	60	180	200	40	3.6	0.9442797711932649,0.7780022595534374,0.8357990036990557,1
